"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"13657","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","MANGI RAM","Payment Success","10200"
"13658","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","SUBHASH CHANDRA","Payment Success","33600"
"13659","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","CHYANAN","Payment Success","15405"
"13660","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","CHYANAN","Payment Success","3420"
"13661","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","SAROJ","Payment Success","3420"
"13662","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","SAROJ","Payment Success","7410"
"13663","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","MOHAR SINGH","Payment Success","7410"
"13664","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","MOHAR SINGH","Payment Success","3420"
"13665","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","RAMSAWROOP","Payment Success","10200"
"13666","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","RAMSAWROOP","Payment Success","23400"
"13667","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","GUDDI","Payment Success","7410"
"13668","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","GUDDI","Payment Success","3420"
"13669","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","BNARSI","Payment Success","3420"
"13670","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","BNARSI","Payment Success","10830"
"13671","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP728/2025-2026/193529","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-Mar-2026","DHANA RAM","Payment Success","3420"
"13672","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","DHANA RAM","Payment Success","7410"
"13673","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","NIRANA RAM","Payment Success","21900"
"13674","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","RACHNA","Payment Success","3420"
"13675","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","SHISHRAM","Payment Success","10200"
"13676","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","GAYTRI","Payment Success","7125"
"13677","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","GAYTRI","Payment Success","3420"
"13678","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","Ramsingh","Payment Success","10200"
"13679","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","Ramsingh","Payment Success","22500"
"13680","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","VIDHYA","Payment Success","3420"
"13681","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","om","Payment Success","13905"
"13682","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","stayveer singh","Payment Success","10200"
"13683","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","vidhya","Payment Success","7125"
"13684","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","RAKESH KUMAR","Payment Success","3420"
"13685","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP728/2025-2026/191752","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","21-Mar-2026","Girdhawari","Payment Success","3420"
"13686","Rajasthan","Construction of public libraries and reading rooms","WS/MP386/2025-2026/242369","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","03-Aug-2026","swastika construction co","Payment Success","154985"
"13687","Rajasthan","Construction of public libraries and reading rooms","WS/MP386/2025-2026/242369","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","24-Aug-2026","swastika construction co","Payment Success","331223"
"13688","Rajasthan","Construction of public libraries and reading rooms","WS/MP386/2025-2026/242369","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","09-Feb-2026","swastika construction co","Payment Success","499564"
"13689","Rajasthan","Construction of public libraries and reading rooms","WS/MP386/2025-2026/242369","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","23-Feb-2026","swastika construction co","Payment Success","263114"
"13690","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/228341","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","26-Jul-2026","SHRI KOB GRAMPANCHAYAT","Payment Success","298649"
"13691","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/227154","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","26-Jul-2026","SHRI DELVADA GRAM PANCHAYAT","Payment Success","493301"
"13692","Gujarat","Providing drains and gutters for public drainage","WS/MP323/2025-2026/226746","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","05-Mar-2026","SHRI GANGDA GRAMPANCHAYAT","Payment Success","300000"
"13693","Punjab","Providing drains and gutters for public drainage","WS/MP18154/2025-2026/199726","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Feb-2026","Rakesh Kumar","Payment Success","50000"
"13694","Haryana","Development of playfields and sports grounds","WS/MP329/2025-2026/255635","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","10-Feb-2026","Gram Panchayat Baganwal","Payment Success","500000"
"13695","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP18343/2025-2026/194519","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","08-Jul-2026","KANDAVALLI BUTCHAMMA","Payment Success","770135"
"13696","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP18343/2025-2026/194516","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","08-Apr-2026","KANDAVALLI BUTCHAMMA","Payment Success","1192679"
"13697","Andhra Pradesh","Construction of community centers and community halls","WS/MP18343/2025-2026/194518","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","08-Apr-2026","KANDAVALLI BUTCHAMMA","Payment Success","1081621"
"13698","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP18343/2025-2026/194519","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","10-Feb-2026","KANDAVALLI BUTCHAMMA","Payment Success","1005174"
"13699","Andhra Pradesh","Construction of buildings for community cultural activities","WS/MP18343/2025-2026/194516","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","18-Jul-2026","KANDAVALLI BUTCHAMMA","Payment Success","535563"
"13700","Andhra Pradesh","Construction of community centers and community halls","WS/MP18343/2025-2026/194517","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","24-Feb-2026","KANDAVALLI BUTCHAMMA","Payment Success","918315"
"13701","Andhra Pradesh","Construction of community centers and community halls","WS/MP18343/2025-2026/194518","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","13-Aug-2026","KANDAVALLI BUTCHAMMA","Payment Success","675661"
"13702","Andhra Pradesh","Construction of community centers and community halls","WS/MP18343/2025-2026/194517","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","13-Aug-2026","KANDAVALLI BUTCHAMMA","Payment Success","858093"
"13703","Punjab","Providing drains and gutters for public drainage","WS/MP18154/2025-2026/216115","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","11-Feb-2026","LOVELY TRADING CO","Payment Success","11000"
"13704","Punjab","Purchase of immovable sports equipment","WS/MP18154/2025-2026/250965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","11-May-2026","LOVELY TRADING CO","Payment Success","66229"
"13705","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP323/2025-2026/216870","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","20-Feb-2026","Shri velva gram panchyat","Payment Success","387478"
"13706","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP18116/2025-2026/210170","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","12-Feb-2026","pushpa majoor k s sty","Payment Success","973886"
"13707","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/206320","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","10-Aug-2026","Sushanta Patel","Payment Success","300000"
"13708","Odisha","Construction of community centers and community halls","WS/MP370/2025-2026/206322","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","29-Aug-2026","Sushanta Patel","Payment Success","753863"
"13709","Odisha","Construction of common work sheds/ common covered sitting area","WS/MP370/2025-2026/206323","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","24-Aug-2026","Sushanta Patel","Payment Success","700000"
"13710","Odisha","Construction of bus-sheds or bus-stops","WS/MP370/2024-2025/145540","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","10-Feb-2026","Sushanta Patel","Payment Success","700000"
"13711","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","25-Feb-2026","J S ENTERPRISES","Payment Success","37760"
"13712","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199715","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","21-Feb-2026","J S ENTERPRISES","Payment Success","61150"
"13713","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199722","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Feb-2026","J S ENTERPRISES","Payment Success","37950"
"13714","Punjab","Construction of community centers and community halls","WS/MP18154/2025-2026/199724","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Feb-2026","J S ENTERPRISES","Payment Success","161500"
"13715","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/199725","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","19-Feb-2026","J S ENTERPRISES","Payment Success","45890"
"13716","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/196163","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Feb-2026","RS CEMENT STORE","Payment Success","95100"
"13717","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Feb-2026","RS CEMENT STORE","Payment Success","117800"
"13718","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199729","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","24-Mar-2026","RS CEMENT STORE","Payment Success","8000"
"13719","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18153/2025-2026/204092","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","12-Feb-2026","Hind Tiles Industry","Payment Success","214200"
"13720","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18344/2025-2026/177805","PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","01-Apr-2026","BHARVADA GRAM PANCHAYAT","Payment Success","476350"
"13721","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18153/2025-2026/204092","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","12-Feb-2026","Shree Bala ji Cement and Building Material","Payment Success","30800"
"13722","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167506","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","07-Mar-2026","DAMA SIVA BABU","Payment Success","493099"
"13723","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167507","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","11-Mar-2026","DAMA SIVA BABU","Payment Success","461041"
"13724","Punjab","Installation of fixed garden gym equipment","WS/MP18154/2025-2026/166576","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","12-Feb-2026","MS SAPRAI TRADING CO","Payment Success","172050"
"13725","Punjab","Street lights","WS/MP18156/2025-2026/213062","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","10-Mar-2026","JVG ENTERPRISES","Payment Success","200000"
"13726","Punjab","Street lights","WS/MP18156/2025-2026/213068","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","10-Feb-2026","JVG ENTERPRISES","Payment Success","250000"
"13727","Punjab","Street lights","WS/MP18156/2025-2026/213066","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","10-Feb-2026","JVG ENTERPRISES","Payment Success","150000"
"13728","Punjab","Street lights","WS/MP18156/2025-2026/213061","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","15-May-2026","JVG ENTERPRISES","Payment Success","200000"
"13729","Punjab","Street lights","WS/MP18156/2025-2026/213070","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","15-May-2026","JVG ENTERPRISES","Payment Success","200000"
